lag360,"forza silvioooo. flat tax subitooo","🇮🇹     🇦🇺     🇪🇸    🇬🇧
rinocordua,"Ottima scelta presidente...",,44,2795,10
rinocordua,"Forza centro destraaaaaa",,44,2795,10
rinocordua,"Tutti con te presidente... spazza via si luridi pezzenti dei pd e Grillini..... forza presidente",,44,2795,10
rinocordua,"@cristian_ishee non ti piace... come presidente..!!",,44,2795,10
rinocordua,"@cristian_ishee credo che lei non è poi così informato.. la corte di Strasburgo ha dato ragione e quindi dopo anni .. è sceso nuovamente in politica.",,44,2795,10
rinocordua,"Forza presidente... 😀",,44,2795,10
rinocordua,"Grande Silvio solo tu puoi combattere questi lupi....",,44,2795,10
alberto.papaleo,#menomalechesilvioce,,90,1272,109
awed__,"Buongiorno presidente 🇮🇹 Viva l’italia","Youtuber in crisi.
jndoeofficial,"@awed__ ahahahah","Art 🎨 | Music 🎼 | Travel 🗺 | YouTube 🎬 🎤 🎧  Latest YouTube video:",739,8381,172

giusy.greco.169,"Sei l'unico non mollare mai noi siamo con te tanti saluti",,1,33,0
giusy.greco.169,"Prima bisogna abolire la bischerata per piccoli imprenditori perché noi facciamo i mercati",,1,33,0

anna__bertollo,"grande presidente !!!","Liceo F. Corradini",101,644,3
anna__bertollo,@__nicola_03_,"Liceo F. Corradini",101,644,3

fiore_lli_no_,"Bel discorso !!! cerchiamo di diminuire le tasse per gli imprenditori italiani così le aziende non chiudono e gli ""Italiani"" non vengono licenziati !!! L'Italia non può  avere tutte queste tasse sennò le aziende  aprono altrove e noi finiamo male !!! Complimenti Presidente !!!!!!","_Sento solo il Presente _❤💋👄",131,736,209

laura__luciani,"@danielebossari_vincitore  SEMPRE! Quando c era lui si stava meglio ! Dopo di lui con questi governi di sinistra e imposti da loro ricordo solo disgrazie e degrado","💪🏻FitnessModel

alee.negrini,"@giuliopage ignorante comunista","Milano capitale",220,1761,104
alee.negrini,"@giuliopage io mi vergogno che in Italia ci sia ancora gente come te","Milano capitale",220,1761,104
alee.negrini,"@giuliopage dalle tue si capisce in un'attimo che c'hai la mamma puttana","Milano capitale",220,1761,104
alee.negrini,"@giuliopage Coglione bastardo","Milano capitale",220,1761,104

partitorealista,"@adella.anna segui questo nuovo possibile partito con idee neofasciste,tutte scritte nel nostro secondo post","Possibile partito emergente
partitorealista,"@zani_franco segui questo nuovo possibile partito con idee neofasciste,tutte scritte nel nostro secondo post","Possibile partito emergente

pellegrinofrancesco8,"Solo per la simpatia meriterebbe il voto. Gli studiosi dicono che ridere fa bene.
Un'intervista di Berlusconi al giorno , toglie il medico di torno.😀😀😀 #SEMPREOPERATIVO 👍",,34,173,158

valerio_bulletti,"Grande presidente ❤️❤️","[OSTIA] 20 anni",88,1626,52

mustafashahin0,"Grande Presidente Forza Italia Forza Milan","A space for art.. A space for comfort. For ordering and more information please whatsapp on +(971 567558869) (+971556712131)",91,538,132
